,DRG,CM-PCS,en
1903,DRG39510,D560,Alpha thalassemia
1904,DRG39510,D561,Beta thalassemia
1905,DRG39510,D562,Delta-beta thalassemia
1906,DRG39510,D563,Thalassemia minor
1907,DRG39510,D565,Hemoglobin E-beta thalassemia
1908,DRG39510,D568,Other thalassemias
1909,DRG39510,D569,"Thalassemia, unspecified"
1910,DRG39510,D5740,Sickle-cell thalassemia without crisis
1911,DRG39510,D57411,Sickle-cell thalassemia with acute chest syndrome
1912,DRG39510,D57412,Sickle-cell thalassemia with splenic sequestration
1913,DRG39510,D57419,"Sickle-cell thalassemia with crisis, unspecified"
