DRG,CM-PCS,en
DRG39609,D560,Alpha thalassemia
DRG39609,D561,Beta thalassemia
DRG39609,D562,Delta-beta thalassemia
DRG39609,D563,Thalassemia minor
DRG39609,D565,Hemoglobin E-beta thalassemia
DRG39609,D568,Other thalassemias
DRG39609,D569,"Thalassemia, unspecified"
DRG39609,D5740,Sickle-cell thalassemia without crisis
DRG39609,D57411,Sickle-cell thalassemia with acute chest syndrome
DRG39609,D57412,Sickle-cell thalassemia with splenic sequestration
DRG39609,D57419,"Sickle-cell thalassemia with crisis, unspecified"
