DRG,CM-PCS,en
DRG39610,D560,Alpha thalassemia
DRG39610,D561,Beta thalassemia
DRG39610,D562,Delta-beta thalassemia
DRG39610,D563,Thalassemia minor
DRG39610,D565,Hemoglobin E-beta thalassemia
DRG39610,D568,Other thalassemias
DRG39610,D569,"Thalassemia, unspecified"
DRG39610,D5740,Sickle-cell thalassemia without crisis
DRG39610,D57411,Sickle-cell thalassemia with acute chest syndrome
DRG39610,D57412,Sickle-cell thalassemia with splenic sequestration
DRG39610,D57419,"Sickle-cell thalassemia with crisis, unspecified"
