,DRG,CM-PCS,en
4866,DRG50903,T2130XA,"Burn of third degree of trunk, unspecified site, initial encounter"
4867,DRG50903,T2131XA,"Burn of third degree of chest wall, initial encounter"
4868,DRG50903,T2132XA,"Burn of third degree of abdominal wall, initial encounter"
4869,DRG50903,T2133XA,"Burn of third degree of upper back, initial encounter"
4870,DRG50903,T2134XA,"Burn of third degree of lower back, initial encounter"
4871,DRG50903,T2135XA,"Burn of third degree of buttock, initial encounter"
4872,DRG50903,T2170XA,"Corrosion of third degree of trunk, unspecified site, initial encounter"
4873,DRG50903,T2171XA,"Corrosion of third degree of chest wall, initial encounter"
4874,DRG50903,T2172XA,"Corrosion of third degree of abdominal wall, initial encounter"
4875,DRG50903,T2173XA,"Corrosion of third degree of upper back, initial encounter"
4876,DRG50903,T2174XA,"Corrosion of third degree of lower back, initial encounter"
4877,DRG50903,T2175XA,"Corrosion of third degree of buttock, initial encounter"
4878,DRG50903,T2230XA,"Burn of third degree of shoulder and upper limb, except wrist and hand, unspecified site, initial encounter"
4879,DRG50903,T22311A,"Burn of third degree of right forearm, initial encounter"
4880,DRG50903,T22312A,"Burn of third degree of left forearm, initial encounter"
4881,DRG50903,T22319A,"Burn of third degree of unspecified forearm, initial encounter"
4882,DRG50903,T22321A,"Burn of third degree of right elbow, initial encounter"
4883,DRG50903,T22322A,"Burn of third degree of left elbow, initial encounter"
4884,DRG50903,T22329A,"Burn of third degree of unspecified elbow, initial encounter"
4885,DRG50903,T22331A,"Burn of third degree of right upper arm, initial encounter"
4886,DRG50903,T22332A,"Burn of third degree of left upper arm, initial encounter"
4887,DRG50903,T22339A,"Burn of third degree of unspecified upper arm, initial encounter"
4888,DRG50903,T22341A,"Burn of third degree of right axilla, initial encounter"
4889,DRG50903,T22342A,"Burn of third degree of left axilla, initial encounter"
4890,DRG50903,T22349A,"Burn of third degree of unspecified axilla, initial encounter"
4891,DRG50903,T22351A,"Burn of third degree of right shoulder, initial encounter"
4892,DRG50903,T22352A,"Burn of third degree of left shoulder, initial encounter"
4893,DRG50903,T22359A,"Burn of third degree of unspecified shoulder, initial encounter"
4894,DRG50903,T22361A,"Burn of third degree of right scapular region, initial encounter"
4895,DRG50903,T22362A,"Burn of third degree of left scapular region, initial encounter"
4896,DRG50903,T22369A,"Burn of third degree of unspecified scapular region, initial encounter"
4897,DRG50903,T22391A,"Burn of third degree of multiple sites of right shoulder and upper limb, except wrist and hand, initial encounter"
4898,DRG50903,T22392A,"Burn of third degree of multiple sites of left shoulder and upper limb, except wrist and hand, initial encounter"
4899,DRG50903,T22399A,"Burn of third degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand, initial encounter"
4900,DRG50903,T2270XA,"Corrosion of third degree of shoulder and upper limb, except wrist and hand, unspecified site, initial encounter"
4901,DRG50903,T22711A,"Corrosion of third degree of right forearm, initial encounter"
4902,DRG50903,T22712A,"Corrosion of third degree of left forearm, initial encounter"
4903,DRG50903,T22719A,"Corrosion of third degree of unspecified forearm, initial encounter"
4904,DRG50903,T22721A,"Corrosion of third degree of right elbow, initial encounter"
4905,DRG50903,T22722A,"Corrosion of third degree of left elbow, initial encounter"
4906,DRG50903,T22729A,"Corrosion of third degree of unspecified elbow, initial encounter"
4907,DRG50903,T22731A,"Corrosion of third degree of right upper arm, initial encounter"
4908,DRG50903,T22732A,"Corrosion of third degree of left upper arm, initial encounter"
4909,DRG50903,T22739A,"Corrosion of third degree of unspecified upper arm, initial encounter"
4910,DRG50903,T22741A,"Corrosion of third degree of right axilla, initial encounter"
4911,DRG50903,T22742A,"Corrosion of third degree of left axilla, initial encounter"
4912,DRG50903,T22749A,"Corrosion of third degree of unspecified axilla, initial encounter"
4913,DRG50903,T22751A,"Corrosion of third degree of right shoulder, initial encounter"
4914,DRG50903,T22752A,"Corrosion of third degree of left shoulder, initial encounter"
4915,DRG50903,T22759A,"Corrosion of third degree of unspecified shoulder, initial encounter"
4916,DRG50903,T22761A,"Corrosion of third degree of right scapular region, initial encounter"
4917,DRG50903,T22762A,"Corrosion of third degree of left scapular region, initial encounter"
4918,DRG50903,T22769A,"Corrosion of third degree of unspecified scapular region, initial encounter"
4919,DRG50903,T22791A,"Corrosion of third degree of multiple sites of right shoulder and upper limb, except wrist and hand, initial encounter"
4920,DRG50903,T22792A,"Corrosion of third degree of multiple sites of left shoulder and upper limb, except wrist and hand, initial encounter"
4921,DRG50903,T22799A,"Corrosion of third degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand, initial encounter"
4922,DRG50903,T3111,Burns involving 10-19% of body surface with 10-19% third degree burns
4923,DRG50903,T3211,Corrosions involving 10-19% of body surface with 10-19% third degree corrosion
