DRG,CM-PCS,en
DRG10505,02HA0QZ,"Insertion of Implantable Heart Assist System into Heart, Open Approach"
DRG10505,02HA0RS,"Insertion of Biventricular External Heart Assist System into Heart, Open Approach"
DRG10505,02HA0RZ,"Insertion of External Heart Assist System into Heart, Open Approach"
DRG10505,02HA3QZ,"Insertion of Implantable Heart Assist System into Heart, Percutaneous Approach"
DRG10505,02HA3RS,"Insertion of Biventricular External Heart Assist System into Heart, Percutaneous Approach"
DRG10505,02HA3RZ,"Insertion of External Heart Assist System into Heart, Percutaneous Approach"
DRG10505,02HA4QZ,"Insertion of Implantable Heart Assist System into Heart, Percutaneous Endoscopic Approach"
DRG10505,02HA4RS,"Insertion of Biventricular External Heart Assist System into Heart, Percutaneous Endoscopic Approach"
DRG10505,02HA4RZ,"Insertion of External Heart Assist System into Heart, Percutaneous Endoscopic Approach"
DRG10505,02RK0JZ,"Replacement of Right Ventricle with Synthetic Substitute, Open Approach"
DRG10505,02RL0JZ,"Replacement of Left Ventricle with Synthetic Substitute, Open Approach"
DRG10505,02WA0JZ,"Revision of Synthetic Substitute in Heart, Open Approach"
DRG10505,02WA0QZ,"Revision of Implantable Heart Assist System in Heart, Open Approach"
DRG10505,02WA0RZ,"Revision of External Heart Assist System in Heart, Open Approach"
DRG10505,02WA3QZ,"Revision of Implantable Heart Assist System in Heart, Percutaneous Approach"
DRG10505,02WA3RZ,"Revision of External Heart Assist System in Heart, Percutaneous Approach"
DRG10505,02WA4QZ,"Revision of Implantable Heart Assist System in Heart, Percutaneous Endoscopic Approach"
DRG10505,02WA4RZ,"Revision of External Heart Assist System in Heart, Percutaneous Endoscopic Approach"
DRG10505,5A02116,"Assistance with Cardiac Output using Other Pump, Intermittent"
DRG10505,5A0211D,"Assistance with Cardiac Output using Impeller Pump, Intermittent"
DRG10505,5A02216,"Assistance with Cardiac Output using Other Pump, Continuous"
DRG10505,5A0221D,"Assistance with Cardiac Output using Impeller Pump, Continuous"
