,DRG,CM-PCS,en
1358,DRG50505,T3161,Burns involving 60-69% of body surface with 10-19% third degree burns
1359,DRG50505,T3162,Burns involving 60-69% of body surface with 20-29% third degree burns
1360,DRG50505,T3163,Burns involving 60-69% of body surface with 30-39% third degree burns
1361,DRG50505,T3164,Burns involving 60-69% of body surface with 40-49% third degree burns
1362,DRG50505,T3165,Burns involving 60-69% of body surface with 50-59% third degree burns
1363,DRG50505,T3166,Burns involving 60-69% of body surface with 60-69% third degree burns
1364,DRG50505,T3171,Burns involving 70-79% of body surface with 10-19% third degree burns
1365,DRG50505,T3172,Burns involving 70-79% of body surface with 20-29% third degree burns
1366,DRG50505,T3173,Burns involving 70-79% of body surface with 30-39% third degree burns
1367,DRG50505,T3174,Burns involving 70-79% of body surface with 40-49% third degree burns
1368,DRG50505,T3175,Burns involving 70-79% of body surface with 50-59% third degree burns
1369,DRG50505,T3176,Burns involving 70-79% of body surface with 60-69% third degree burns
1370,DRG50505,T3177,Burns involving 70-79% of body surface with 70-79% third degree burns
1371,DRG50505,T3181,Burns involving 80-89% of body surface with 10-19% third degree burns
1372,DRG50505,T3182,Burns involving 80-89% of body surface with 20-29% third degree burns
1373,DRG50505,T3183,Burns involving 80-89% of body surface with 30-39% third degree burns
1374,DRG50505,T3184,Burns involving 80-89% of body surface with 40-49% third degree burns
1375,DRG50505,T3185,Burns involving 80-89% of body surface with 50-59% third degree burns
1376,DRG50505,T3186,Burns involving 80-89% of body surface with 60-69% third degree burns
1377,DRG50505,T3187,Burns involving 80-89% of body surface with 70-79% third degree burns
1378,DRG50505,T3188,Burns involving 80-89% of body surface with 80-89% third degree burns
1379,DRG50505,T3191,Burns involving 90% or more of body surface with 10-19% third degree burns
1380,DRG50505,T3192,Burns involving 90% or more of body surface with 20-29% third degree burns
1381,DRG50505,T3193,Burns involving 90% or more of body surface with 30-39% third degree burns
1382,DRG50505,T3194,Burns involving 90% or more of body surface with 40-49% third degree burns
1383,DRG50505,T3195,Burns involving 90% or more of body surface with 50-59% third degree burns
1384,DRG50505,T3196,Burns involving 90% or more of body surface with 60-69% third degree burns
1385,DRG50505,T3197,Burns involving 90% or more of body surface with 70-79% third degree burns
1386,DRG50505,T3198,Burns involving 90% or more of body surface with 80-89% third degree burns
1387,DRG50505,T3199,Burns involving 90% or more of body surface with 90% or more third degree burns
1388,DRG50505,T3261,Corrosions involving 60-69% of body surface with 10-19% third degree corrosion
1389,DRG50505,T3262,Corrosions involving 60-69% of body surface with 20-29% third degree corrosion
1390,DRG50505,T3263,Corrosions involving 60-69% of body surface with 30-39% third degree corrosion
1391,DRG50505,T3264,Corrosions involving 60-69% of body surface with 40-49% third degree corrosion
1392,DRG50505,T3265,Corrosions involving 60-69% of body surface with 50-59% third degree corrosion
1393,DRG50505,T3266,Corrosions involving 60-69% of body surface with 60-69% third degree corrosion
1394,DRG50505,T3271,Corrosions involving 70-79% of body surface with 10-19% third degree corrosion
1395,DRG50505,T3272,Corrosions involving 70-79% of body surface with 20-29% third degree corrosion
1396,DRG50505,T3273,Corrosions involving 70-79% of body surface with 30-39% third degree corrosion
1397,DRG50505,T3274,Corrosions involving 70-79% of body surface with 40-49% third degree corrosion
1398,DRG50505,T3275,Corrosions involving 70-79% of body surface with 50-59% third degree corrosion
1399,DRG50505,T3276,Corrosions involving 70-79% of body surface with 60-69% third degree corrosion
1400,DRG50505,T3277,Corrosions involving 70-79% of body surface with 70-79% third degree corrosion
1401,DRG50505,T3281,Corrosions involving 80-89% of body surface with 10-19% third degree corrosion
1402,DRG50505,T3282,Corrosions involving 80-89% of body surface with 20-29% third degree corrosion
1403,DRG50505,T3283,Corrosions involving 80-89% of body surface with 30-39% third degree corrosion
1404,DRG50505,T3284,Corrosions involving 80-89% of body surface with 40-49% third degree corrosion
1405,DRG50505,T3285,Corrosions involving 80-89% of body surface with 50-59% third degree corrosion
1406,DRG50505,T3286,Corrosions involving 80-89% of body surface with 60-69% third degree corrosion
1407,DRG50505,T3287,Corrosions involving 80-89% of body surface with 70-79% third degree corrosion
1408,DRG50505,T3288,Corrosions involving 80-89% of body surface with 80-89% third degree corrosion
1409,DRG50505,T3291,Corrosions involving 90% or more of body surface with 10-19% third degree corrosion
1410,DRG50505,T3292,Corrosions involving 90% or more of body surface with 20-29% third degree corrosion
1411,DRG50505,T3293,Corrosions involving 90% or more of body surface with 30-39% third degree corrosion
1412,DRG50505,T3294,Corrosions involving 90% or more of body surface with 40-49% third degree corrosion
1413,DRG50505,T3295,Corrosions involving 90% or more of body surface with 50-59% third degree corrosion
1414,DRG50505,T3296,Corrosions involving 90% or more of body surface with 60-69% third degree corrosion
1415,DRG50505,T3297,Corrosions involving 90% or more of body surface with 70-79% third degree corrosion
1416,DRG50505,T3298,Corrosions involving 90% or more of body surface with 80-89% third degree corrosion
1417,DRG50505,T3299,Corrosions involving 90% or more of body surface with 90% or more third degree corrosion
