DRG,CM-PCS,en
DRG39509,D560,Alpha thalassemia
DRG39509,D561,Beta thalassemia
DRG39509,D562,Delta-beta thalassemia
DRG39509,D563,Thalassemia minor
DRG39509,D565,Hemoglobin E-beta thalassemia
DRG39509,D568,Other thalassemias
DRG39509,D569,"Thalassemia, unspecified"
DRG39509,D5740,Sickle-cell thalassemia without crisis
DRG39509,D57411,Sickle-cell thalassemia with acute chest syndrome
DRG39509,D57412,Sickle-cell thalassemia with splenic sequestration
DRG39509,D57419,"Sickle-cell thalassemia with crisis, unspecified"
